genre,length,rating,score,title,vote,year
"Crime,Drama",142 min,R,9.3,The Shawshank Redemption,"1,925,846",1994
Drama,133 min,R,8.7,One Flew Over the Cuckoo's Nest,"767,744",1975
"Adventure,Drama,Fantasy",178 min,PG-13,8.8,The Lord of the Rings: The Fellowship of the Ring,"1,394,281",2001
"Drama,Romance",142 min,PG-13,8.8,Forrest Gump,"1,456,875",1994
"Biography,Crime,Drama",146 min,R,8.7,Goodfellas,"829,939",1990
"Adventure,Drama,Fantasy",179 min,PG-13,8.7,The Lord of the Rings: The Two Towers,"1,244,491",2002
"Action,Adventure,Sci-Fi",148 min,PG-13,8.8,Inception,"1,684,599",2010
"Action,Adventure,Fantasy",124 min,PG,8.8,Star Wars: Episode V - The Empire Strikes Back,"968,123",1980
Drama,139 min,R,8.8,Fight Club,"1,542,088",1999
"Biography,Drama,History",195 min,R,8.9,Schindler's List,"991,892",1993
Western,178 min,R,8.9,"The Good, the Bad and the Ugly","570,388",1966
"Crime,Drama",154 min,R,8.9,Pulp Fiction,"1,504,488",1994
"Adventure,Drama,Fantasy",201 min,PG-13,8.9,The Lord of the Rings: The Return of the King,"1,374,721",2003
"Action,Crime,Thriller",152 min,PG-13,9,The Dark Knight,"1,897,089",2008
"Crime,Drama",96 min,APPROVED,8.9,12 Angry Men,"532,352",1957
"Crime,Drama",202 min,R,9,The Godfather: Part II,"909,526",1974
Drama,189 min,NOT RATED,8.3,Swades,"68,550",2004
"Biography,Crime,Drama",125 min,R,8,Dog Day Afternoon,"205,407",1975
"Drama,Romance",80 min,R,8.1,Before Sunset,"188,509",2004
"Animation,Adventure,Family",125 min,PG,8.1,Castle in the Sky,"114,721",1986
"Action,Adventure,Fantasy",143 min,PG-13,8,Pirates of the Caribbean: The Curse of the Black Pearl,"907,423",2003
"Action,Crime,Drama",321 min,,8.3,Gangs of Wasseypur,"59,260",2012
"Animation,Family,Fantasy",84 min,G,8,Beauty and the Beast,"359,766",1991
"Mystery,Sci-Fi,Thriller",129 min,R,8,Twelve Monkeys,"514,289",1995
"Drama,Romance,War",170 min,NOT RATED,8.1,The Best Years of Our Lives,"47,197",1946
"Crime,Drama,Mystery",101 min,R,8.1,Infernal Affairs,"104,360",2002
"Drama,Romance",98 min,PG,8.1,In the Mood for Love,"92,571",2000
"Drama,War",121 min,NOT RATED,8.1,The Battle of Algiers,"43,873",1966
Drama,145 min,R,8.1,"Paris, Texas","62,802",1984
Drama,146 min,PG-13,8.1,The Help,"363,814",2011
"Comedy,Drama",128 min,PG,8.1,Dead Poets Society,"323,090",1989
"Adventure,Drama,Thriller",124 min,PG,8,Jaws,"471,118",1975
"Action,Mystery,Thriller",115 min,PG-13,8,The Bourne Ultimatum,"551,766",2007
"Comedy,Romance",93 min,PG,8,Annie Hall,"222,177",1977
Drama,138 min,NOT RATED,8.1,8½,"90,709",1963
"Adventure,Family,Fantasy",102 min,PG,8.1,The Wizard of Oz,"327,470",1939
"Crime,Drama",98 min,NOT RATED,8.1,La Haine,"120,621",1995
"Action,Sci-Fi",107 min,R,8,The Terminator,"677,437",1984
"Biography,Drama,History",191 min,PG,8.1,Gandhi,"193,787",1982
"Crime,Drama,Film-Noir",95 min,PG-13,8.1,Touch of Evil,"83,046",1958
"Comedy,Fantasy,Romance",101 min,PG,8,Groundhog Day,"502,301",1993
"Drama,Sci-Fi,Thriller",113 min,R,8.1,Donnie Darko,"655,185",2001
"Comedy,Crime,Drama",102 min,PG,8.1,Paper Moon,"30,552",1973
"Adventure,Drama,History",185 min,PG,8.1,Barry Lyndon,"118,298",1975
"Crime,Drama,Horror",117 min,NOT RATED,8.1,Diabolique,"49,861",1955
"Animation,Adventure,Comedy",92 min,G,8.1,"Monsters, Inc.","675,701",2001
"Drama,Sport",120 min,PG,8.1,Rocky,"434,154",1976
"Drama,History",129 min,PASSED,8.1,The Grapes of Wrath,"72,949",1940
"Biography,Crime,Drama",141 min,PG-13,8.1,Catch Me If You Can,"642,194",2002
"Adventure,Drama,Fantasy",130 min,PG-13,8.1,Harry Potter and the Deathly Hallows: Part 2,"632,787",2011
"Adventure,Family,Fantasy",98 min,PG,8.1,The Princess Bride,"331,691",1987
"Film-Noir,Mystery",100 min,NOT RATED,8.1,The Maltese Falcon,"128,878",1941
"Crime,Drama,Mystery",153 min,R,8.1,Prisoners,"473,753",2013
Drama,110 min,NOT RATED,8.2,The Nights of Cabiria,"32,786",1957
"Drama,Family",93 min,G,8.1,Hachi: A Dog's Tale,"198,087",2009
"Biography,Crime,Drama",110 min,PG,8.1,Butch Cassidy and the Sundance Kid,"172,498",1969
"Animation,Adventure,Fantasy",117 min,PG,8.1,Nausicaä of the Valley of the Wind,"114,680",1984
"Action,Drama,Sci-Fi",137 min,R,8.1,Logan,"459,727",2017
"Comedy,Drama,Music",128 min,PG-13,8.1,La La Land,"357,266",2016
"Drama,Romance",101 min,R,8.1,Before Sunrise,"216,270",1995
"Crime,Drama,Mystery",104 min,NOT RATED,8.2,A Wednesday,"59,159",2008
"Drama,Thriller",154 min,R,8.1,Amores Perros,"193,897",2000
"Crime,Drama,History",128 min,R,8.1,Spotlight,"313,389",2015
"Comedy,Drama,Sci-Fi",103 min,PG,8.1,The Truman Show,"768,371",1998
"Action,Adventure,Sci-Fi",120 min,R,8.1,Mad Max: Fury Road,"697,614",2015
"Biography,Drama,History",134 min,R,8.1,12 Years a Slave,"526,844",2013
"Crime,Drama",99 min,NOT RATED,8.1,The 400 Blows,"82,462",1959
"Adventure,Sci-Fi,Thriller",127 min,PG-13,8.1,Jurassic Park,"711,031",1993
"Drama,Sport",132 min,PG-13,8.1,Million Dollar Baby,"546,461",2004
"Action,Crime,Drama",132 min,NOT RATED,8.1,Memories of Murder,"86,048",2003
"Drama,Thriller",83 min,NOT RATED,8.1,Persona,"75,343",1966
"Drama,Sci-Fi",162 min,NOT RATED,8.1,Stalker,"84,387",1979
"Adventure,Drama,History",212 min,G,8.1,Ben-Hur,"185,091",1959
"Adventure,Drama",89 min,R,8.1,Stand by Me,"309,876",1986
"Action,Biography,Drama",123 min,R,8.1,Rush,"363,408",2013
Drama,121 min,R,8.1,Network,"119,569",1976
"Biography,Drama,History",121 min,PG-13,8.1,Hotel Rwanda,"294,930",2004
"Biography,Drama,History",114 min,NOT RATED,8.2,The Passion of Joan of Arc,"33,374",1928
"Adventure,Drama,Thriller",131 min,NOT RATED,8.2,The Wages of Fear,"42,255",1953
"Comedy,Romance",105 min,NOT RATED,8.1,It Happened One Night,"75,999",1934
"Biography,Drama",133 min,R,8.1,In the Name of the Father,"128,972",1993
"Drama,War",120 min,R,8.1,Platoon,"327,517",1986
"Adventure,Comedy,Drama",99 min,R,8.1,The Grand Budapest Hotel,"575,900",2014
"Comedy,Drama,Thriller",122 min,R,8.1,Wild Tales,"128,491",2014
Comedy,94 min,R,8.1,Life of Brian,"306,114",1979
"Adventure,Biography,Drama",148 min,R,8.1,Into the Wild,"488,623",2007
"Animation,Comedy,Drama",92 min,NOT RATED,8.1,Mary and Max,"138,504",2009
"Crime,Drama,Mystery",149 min,R,8.1,Gone Girl,"690,253",2014
"Comedy,Drama",157 min,NOT RATED,8.3,Rang De Basanti,"89,122",2006
"Mystery,Thriller",138 min,R,8.1,Shutter Island,"918,115",2010
"Animation,Action,Adventure",98 min,PG,8.1,How to Train Your Dragon,"557,365",2010
"Biography,Drama,History",205 min,NOT RATED,8.3,Andrei Rublev,"31,337",1966
"Biography,Drama,History",139 min,R,8.2,Hacksaw Ridge,"305,332",2016
Drama,136 min,NOT RATED,8.2,Tokyo Story,"35,728",1953
"Crime,Drama,Thriller",128 min,,8.4,The Bandit,"47,429",1996
"Drama,Mystery,Romance",130 min,NOT RATED,8.2,Rebecca,"100,674",1940
"Crime,Drama",126 min,GP,8.2,Cool Hand Luke,"135,649",1967
"Action,Crime,Thriller",111 min,R,8.1,Kill Bill: Vol. 1,"834,686",2003
"Drama,Romance",94 min,NOT RATED,8.2,Sunrise,"36,735",1927
"Drama,War",142 min,NOT RATED,8.2,Come and See,"35,367",1985
"Drama,Mystery,Sci-Fi",164 min,R,8.2,Blade Runner 2049,"262,173",2017
Drama,158 min,R,8.1,There Will Be Blood,"428,284",2007
"Comedy,Crime",117 min,R,8.2,The Big Lebowski,"612,457",1998
"Drama,War",183 min,R,8.2,The Deer Hunter,"263,346",1978
"Animation,Adventure,Comedy",100 min,G,8.1,Finding Nemo,"798,370",2003
"Horror,Mystery,Sci-Fi",109 min,R,8.1,The Thing,"300,932",1982
"Crime,Drama,Thriller",98 min,R,8.1,Fargo,"519,210",1996
"Drama,Mystery,Thriller",107 min,PG-13,8.1,The Sixth Sense,"788,752",1999
"Crime,Drama,Thriller",122 min,R,8.1,No Country for Old Men,"704,018",2007
Drama,116 min,R,8.2,Gran Torino,"627,993",2008
"Drama,History,Romance",238 min,G,8.2,Gone with the Wind,"243,948",1939
Drama,94 min,R,8.2,Trainspotting,"549,019",1996
"Crime,Film-Noir,Thriller",105 min,PG,8.2,Dial M for Murder,"125,971",1954
"Drama,Sport",140 min,PG-13,8.2,Warrior,"376,679",2011
"Action,Adventure,Comedy",67 min,NOT RATED,8.2,The General,"63,119",1926
